last_correct,last_response_time,diff_easy,diff_medium,diff_hard,session_accuracy,current_domain,target_domain,target_diff
1,1945,0,1,0,1.0,0,0,1
0,2130,0,1,0,0.5,0,0,0
1,3321,1,0,0,0.6666666666666666,0,0,0
1,7647,1,0,0,0.75,0,1,0
1,6962,1,0,0,0.8,1,2,1
1,4827,0,1,0,0.8333333333333334,2,2,2
0,7378,0,0,1,0.7142857142857143,2,0,1
1,3467,0,1,0,0.75,0,1,1
0,7974,0,1,0,0.6666666666666666,1,1,0
1,7079,1,0,0,0.7,1,2,0
1,5648,1,0,0,0.7272727272727273,2,2,0
1,5897,1,0,0,0.75,2,2,1
0,7466,0,1,0,0.6923076923076923,2,2,0
1,6644,1,0,0,0.7142857142857143,2,0,0
0,5858,1,0,0,0.6666666666666666,0,0,0
1,4157,1,0,0,0.6875,0,1,0
1,3963,1,0,0,0.7058823529411765,1,1,0
1,2174,1,0,0,0.7222222222222222,1,2,1
1,7488,0,1,0,0.7368421052631579,2,2,2
0,4962,0,0,1,0.7,2,2,1
1,4209,0,1,0,0.7142857142857143,2,2,1
1,7115,0,1,0,0.7272727272727273,2,0,1
1,6088,0,1,0,0.7391304347826086,0,0,2
1,3258,0,0,1,0.75,0,0,2
1,3185,0,0,1,0.76,0,0,2
0,4975,0,0,1,0.7307692307692307,0,0,1
0,1462,0,1,0,0.7037037037037037,0,0,0
1,5143,1,0,0,0.7142857142857143,0,1,0
1,7789,1,0,0,0.7241379310344828,1,1,0
0,5963,1,0,0,0.7,1,2,0
1,6114,1,0,0,0.7096774193548387,2,2,0
1,3558,1,0,0,0.71875,2,2,0
1,6337,1,0,0,0.7272727272727273,2,2,1
0,4876,0,1,0,0.7058823529411765,2,2,0
1,3284,1,0,0,0.7142857142857143,2,2,0
1,5812,1,0,0,0.7222222222222222,2,2,0
1,5664,1,0,0,0.7297297297297297,2,2,1
1,2009,0,1,0,0.7368421052631579,2,2,2
0,1257,0,0,1,0.717948717948718,2,2,1
0,4117,0,1,0,0.7,2,2,0
0,2170,1,0,0,0.6829268292682927,2,2,0
1,6724,1,0,0,0.6904761904761905,2,0,0
1,5718,1,0,0,0.6976744186046512,0,1,0
1,2895,1,0,0,0.7045454545454546,1,1,1
1,1767,0,1,0,0.7111111111111111,1,2,2
0,5816,0,0,1,0.6956521739130435,2,2,1
1,4695,0,1,0,0.7021276595744681,2,2,1
1,1300,0,1,0,0.7083333333333334,2,0,1
0,5676,0,1,0,0.6938775510204082,0,0,0
1,4166,1,0,0,0.7,0,0,0
1,2565,1,0,0,0.7058823529411765,0,0,0
1,4008,1,0,0,0.7115384615384616,0,0,1
0,7067,0,1,0,0.6981132075471698,0,1,0
1,1024,1,0,0,0.7037037037037037,1,1,0
1,7780,1,0,0,0.7090909090909091,1,1,0
0,3662,1,0,0,0.6964285714285714,1,1,0
1,6036,1,0,0,0.7017543859649122,1,2,0
1,7341,1,0,0,0.7068965517241379,2,2,0
0,2315,1,0,0,0.6949152542372882,2,2,0
1,6207,1,0,0,0.7,2,2,0
1,6165,1,0,0,0.7049180327868853,2,2,0
0,1517,1,0,0,0.6935483870967742,2,2,0
1,7565,1,0,0,0.6984126984126984,2,0,0
1,4470,1,0,0,0.703125,0,0,0
0,5840,1,0,0,0.6923076923076923,0,0,0
1,4173,1,0,0,0.696969696969697,0,1,0
0,5267,1,0,0,0.6865671641791045,1,1,0
1,5041,1,0,0,0.6911764705882353,1,1,0
1,1572,1,0,0,0.6956521739130435,1,1,0
1,5546,1,0,0,0.7,1,1,1
0,5208,0,1,0,0.6901408450704225,1,1,0
1,3523,1,0,0,0.6944444444444444,1,1,0
1,7583,1,0,0,0.6986301369863014,1,1,0
1,7810,1,0,0,0.7027027027027027,1,1,1
1,4109,0,1,0,0.7066666666666667,1,2,2
0,3637,0,0,1,0.6973684210526315,2,2,1
1,5664,0,1,0,0.7012987012987013,2,2,1
0,7937,0,1,0,0.6923076923076923,2,2,0
1,5937,1,0,0,0.6962025316455697,2,2,0
1,3441,1,0,0,0.7,2,2,0
1,2877,1,0,0,0.7037037037037037,2,2,1
1,7412,0,1,0,0.7073170731707317,2,0,2
0,4999,0,0,1,0.6987951807228916,0,0,1
1,4390,0,1,0,0.7023809523809523,0,0,1
0,6533,0,1,0,0.6941176470588235,0,0,0
0,3574,1,0,0,0.686046511627907,0,0,0
1,2062,1,0,0,0.6896551724137931,0,0,0
1,2215,1,0,0,0.6931818181818182,0,1,0
1,5562,1,0,0,0.6966292134831461,1,1,1
1,3957,0,1,0,0.7,1,1,2
0,7448,0,0,1,0.6923076923076923,1,2,1
0,5766,0,1,0,0.6847826086956522,2,2,0
1,1768,1,0,0,0.6881720430107527,2,2,0
1,3431,1,0,0,0.6914893617021277,2,2,0
1,1656,1,0,0,0.6947368421052632,2,2,1
1,2398,0,1,0,0.6979166666666666,2,2,2
0,5638,0,0,1,0.6907216494845361,2,2,1
0,7271,0,1,0,0.6836734693877551,2,2,0
1,5751,1,0,0,0.6868686868686869,2,0,0
1,3144,1,0,0,0.69,0,0,0
1,4710,1,0,0,0.693069306930693,0,1,1
1,7881,0,1,0,0.696078431372549,1,1,2
1,7417,0,0,1,0.6990291262135923,1,1,2
0,3211,0,0,1,0.6923076923076923,1,1,1
1,6003,0,1,0,0.6952380952380952,1,1,1
0,7393,0,1,0,0.6886792452830188,1,1,0
0,7120,1,0,0,0.6822429906542056,1,1,0
0,4827,1,0,0,0.6759259259259259,1,2,0
0,7072,1,0,0,0.6697247706422018,2,2,0
1,2768,1,0,0,0.6727272727272727,2,0,0
1,7579,1,0,0,0.6756756756756757,0,0,0
1,7265,1,0,0,0.6785714285714286,0,0,1
0,6389,0,1,0,0.672566371681416,0,0,0
1,5825,1,0,0,0.6754385964912281,0,0,0
0,2651,1,0,0,0.6695652173913044,0,0,0
0,6722,1,0,0,0.6637931034482759,0,0,0
1,3555,1,0,0,0.6666666666666666,0,0,0
1,2833,1,0,0,0.6694915254237288,0,1,0
1,2427,1,0,0,0.6722689075630253,1,1,1
1,1807,0,1,0,0.675,1,2,2
1,1692,0,0,1,0.6776859504132231,2,2,2
1,3985,0,0,1,0.680327868852459,2,2,2
1,3980,0,0,1,0.6829268292682927,2,2,2
0,3284,0,0,1,0.6774193548387096,2,2,1
0,5288,0,1,0,0.672,2,2,0
1,6707,1,0,0,0.6746031746031746,2,2,0
0,1165,1,0,0,0.6692913385826772,2,2,0
0,7792,1,0,0,0.6640625,2,2,0
1,7994,1,0,0,0.6666666666666666,2,2,0
1,1451,1,0,0,0.6692307692307692,2,2,0
1,7867,1,0,0,0.6717557251908397,2,2,1
0,1506,0,1,0,0.6666666666666666,2,2,0
1,7509,1,0,0,0.6691729323308271,2,2,0
